Cd,Reynolds number
0.2561,98.71
0.27388,92.16
0.29833,83.87
0.32241,78.99
0.35166,72.23
0.37905,67.28
0.40804,62.901
0.44447,58.089
0.48416,53.252
0.52531,49.723
0.5508,47.404
0.6039,43.724
0.6536,40.379
0.7035,37.657
0.7633,35.076
0.8481,31.998
0.9397,29.048
1.0385,26.435
1.1691,24.056
1.3006,21.892
1.4074,20.342
1.5719,18.466
1.7418,16.846
1.9351,15.387
2.1499,14.14
2.3605,12.995
2.5111,12.298
2.8454,11.164
3.1696,10.11
3.5167,9.371
3.8968,8.591
4.3237,7.934
5.0765,6.986
5.6548,6.531
6.332,5.9359
7.232,5.4086
7.972,5.0071
8.998,4.6241
9.944,4.2967
11.297,3.9342
12.651,3.6377
13.963,3.4344
15.37,3.2305
16.964,3.0387
18.577,2.8583
20.369,2.7051
22.187,2.5759
23.915,2.4528
25.845,2.3471
27.931,2.2487
29.87,2.1544
32.196,2.0615
34.612,1.9558
37.063,1.8899
40.107,1.8085
43.458,1.7326
46.414,1.6498
50.491,1.5826
55.654,1.4941
59.99,1.4262
65.26,1.3681
70.25,1.314
75.62,1.2604
83.02,1.2076
90.91,1.1499
98.77,1.1003
111.47,1.0401
122.23,0.9892
134.9,0.9489
151.46,0.8981
168.71,0.8499
184.26,0.8123
202.83,0.7773
223.28,0.7438
249.37,0.71
274.15,0.6786
321.03,0.6462
366.64,0.6161
416.55,0.58957
480.77,0.56556
539.78,0.54386
613.2,0.52814
698.5,0.51288
803.1,0.49502
904,0.48189
1042,0.46797
1218.6,0.45612
1425.1,0.44404
1679.8,0.4328
2032.8,0.4198
2463.2,0.4122
2976.9,0.40425
3679,0.39452
4552.8,0.39024
5604.6,0.38982
7027,0.39083
9202,0.4001
11180,0.4131
13872,0.42706
17810,0.43665
22214,0.4459
29282,0.4537
36236,0.46331
47890,0.47141
6.489e+04,0.48795
8.805e+04,0.50138
1.1201e+05,0.50392
1.4306e+05,0.50092
1.9643e+05,0.49735
2.5121e+05,0.48658
3.1958e+05,0.47313
3.4266e+05,0.43962
3.6072e+05,0.35435
3.6939e+05,0.28667
3.7927e+05,0.23564
3.8533e+05,0.18557
3.9201e+05,0.14559
3.988e+05,0.11764
4.0517e+05,0.09436
4.0949e+05,0.07634
4.1711e+05,0.07093
4.4138e+05,0.07458
5.074e+05,0.07969
6.116e+05,0.08856
7.19e+05,0.09579
8.553e+05,0.10324
1.0147e+06,0.11181
1.1992e+06,0.12333
1.4079e+06,0.13243
1.7746e+06,0.14431
2.2725e+06,0.15421
2.6785e+06,0.16078
3.3718e+06,0.16724
4.1891e+06,0.17162
5.1027e+06,0.17547
6.331e+06,0.17766
7.773e+06,0.18164
9.345e+06,0.18255
